cluster,Rata-Rata Kepadatan per 1000,Rata-Rata Pertumbuhan PCT,Rata-Rata Daya Beli
1,141.18,6.19,8988.83
2,131.41,6.19,16411.2
3,136.48,6.19,11236.66
