nama_kabupaten_kota,tahun,binaan_agribisnis,binaan_aksesoris,binaan_batik,binaan_bordir,binaan_craft,binaan_dekorasi,binaan_fashion,binaan_industri,binaan_jasa,binaan_konveksi,binaan_kuliner,binaan_makanan,binaan_mebel,binaan_minuman,binaan_obat-obatan
KABUPATEN PANGANDARAN,2023,0,13,0,0,1,0,98,1,14,2,0,0,0,0,5
KABUPATEN PURWAKARTA,2019,0,0,0,0,0,0,4,0,1,0,5,12,0,0,0
KABUPATEN PURWAKARTA,2020,18,0,0,0,7,0,4,8,21,1,31,15,0,17,0
KABUPATEN PURWAKARTA,2021,8,0,2,0,11,0,5,7,10,0,14,56,0,7,7
KABUPATEN PURWAKARTA,2022,1,0,0,0,8,0,8,3,13,0,10,62,0,7,0
KABUPATEN PURWAKARTA,2023,0,10,0,0,10,0,79,2,7,0,0,0,6,0,0
KABUPATEN SUBANG,2019,1,0,0,0,5,0,6,4,0,0,0,35,0,1,0
KABUPATEN SUBANG,2020,9,0,1,0,13,0,11,23,7,4,34,62,0,7,1
KABUPATEN SUBANG,2021,8,0,0,0,14,0,12,22,4,0,47,31,0,6,0
KABUPATEN SUBANG,2022,0,0,0,0,17,0,7,1,0,2,3,96,0,10,2
KABUPATEN SUBANG,2023,0,44,0,0,0,0,98,1,11,1,0,0,0,0,0
KABUPATEN SUKABUMI,2019,2,2,0,1,15,0,17,3,3,3,10,41,0,3,0
KABUPATEN SUKABUMI,2020,11,4,0,1,29,0,19,15,3,10,42,77,0,9,0
KABUPATEN SUKABUMI,2021,4,1,0,0,15,0,26,17,0,0,6,68,0,7,0
KABUPATEN SUKABUMI,2022,3,0,0,0,18,0,7,3,1,1,12,93,2,9,0
KABUPATEN SUKABUMI,2023,0,19,0,0,3,0,127,0,16,0,0,0,2,0,0
KABUPATEN SUMEDANG,2019,1,0,1,0,8,0,6,3,2,2,18,54,0,2,0
KABUPATEN SUMEDANG,2020,3,0,1,0,27,0,27,3,2,2,96,54,0,2,0
KABUPATEN SUMEDANG,2021,2,0,1,0,16,0,14,0,0,0,1,106,1,3,0
KABUPATEN SUMEDANG,2022,3,0,0,0,9,0,17,4,4,0,2,99,1,11,1
KABUPATEN SUMEDANG,2023,0,15,0,0,0,0,109,0,9,0,0,0,14,0,2
KABUPATEN TASIKMALAYA,2019,0,1,0,0,10,0,5,6,0,12,6,69,0,7,0
KABUPATEN TASIKMALAYA,2020,5,1,0,0,25,0,11,6,1,21,25,105,0,15,1
KABUPATEN TASIKMALAYA,2021,5,0,0,0,15,0,14,2,1,0,29,44,0,10,0
KABUPATEN TASIKMALAYA,2022,1,0,0,0,12,0,10,0,0,10,0,87,0,8,0
KABUPATEN TASIKMALAYA,2023,0,20,0,0,0,0,94,0,7,0,0,0,5,0,0
KOTA BANDUNG,2019,0,1,0,0,31,1,115,5,10,3,133,1,0,2,0
KOTA BANDUNG,2020,0,1,0,0,39,1,146,6,15,4,201,5,0,3,1
KOTA BANDUNG,2021,0,1,2,0,15,0,40,2,8,0,56,17,0,4,0
KOTA BANDUNG,2022,1,0,0,0,21,0,25,1,0,0,77,16,0,3,0
KOTA BANDUNG,2023,0,23,0,0,3,0,87,0,13,1,0,0,14,0,0
KOTA BANJAR,2019,0,0,0,1,0,1,0,5,3,1,3,23,0,2,0
KOTA BANJAR,2020,2,0,0,1,8,1,6,8,12,4,48,36,3,10,1
KOTA BANJAR,2021,1,0,0,0,9,2,9,5,9,0,4,64,3,14,0
KOTA BANJAR,2022,0,0,0,0,11,0,15,0,19,1,0,63,0,24,0
KOTA BANJAR,2023,0,24,0,0,6,0,75,0,19,0,0,0,0,0,0
KOTA BEKASI,2019,1,0,0,0,2,0,3,0,3,1,16,0,0,0,0
KOTA BEKASI,2020,4,3,2,0,11,0,12,2,13,6,19,45,0,9,0
KOTA BEKASI,2021,2,1,3,0,13,0,16,2,6,0,8,56,0,13,0
KOTA BEKASI,2022,3,0,0,0,9,0,15,6,11,0,11,45,0,9,0
KOTA BEKASI,2023,0,7,0,0,6,0,84,0,11,2,0,0,26,0,0
KOTA BOGOR,2019,0,0,2,0,2,1,1,6,0,0,3,18,0,4,0
KOTA BOGOR,2020,0,0,2,0,13,1,8,8,3,51,3,43,0,6,0
KOTA BOGOR,2021,1,0,0,0,5,0,7,2,3,0,50,50,0,2,0
KOTA BOGOR,2022,4,0,0,0,8,0,18,2,14,1,12,66,0,8,0
KOTA BOGOR,2023,0,16,0,0,5,0,91,0,9,0,0,0,3,0,2
KOTA CIMAHI,2019,0,0,0,0,9,0,23,0,0,0,0,52,0,0,0
KOTA CIMAHI,2020,0,0,0,0,18,0,42,0,0,0,55,68,0,0,1
KOTA CIMAHI,2021,0,0,0,0,10,0,20,9,4,0,41,34,0,2,0
KOTA CIMAHI,2022,0,0,0,0,8,0,19,0,7,1,28,68,0,2,0
KOTA CIMAHI,2023,0,10,0,0,6,0,94,0,6,0,0,0,0,0,0
KOTA CIREBON,2019,0,0,1,0,8,0,7,5,1,0,0,76,0,10,0
KOTA CIREBON,2020,1,0,2,0,12,0,12,10,6,1,2,148,2,13,1
KOTA CIREBON,2021,1,1,5,0,14,0,8,1,1,0,0,77,0,12,0
KOTA CIREBON,2022,2,0,0,0,12,0,11,0,2,0,0,66,0,7,0
KOTA CIREBON,2023,0,20,0,0,1,0,65,0,5,0,0,0,5,0,1
KOTA DEPOK,2019,0,0,0,0,5,0,2,4,0,0,36,4,0,0,0
KOTA DEPOK,2020,0,0,0,0,11,0,8,4,1,0,101,21,0,1,0
KOTA DEPOK,2021,0,0,0,0,4,0,4,1,0,0,24,76,0,11,0
KOTA DEPOK,2022,0,0,0,0,7,0,4,2,4,0,72,15,0,4,0
KOTA DEPOK,2023,0,8,0,0,4,0,79,0,10,1,0,0,10,0,2
KOTA SUKABUMI,2019,3,1,0,0,7,0,3,1,1,2,4,32,0,4,0
KOTA SUKABUMI,2020,5,1,0,0,18,0,8,5,7,3,28,82,0,10,0
KOTA SUKABUMI,2021,2,0,0,0,13,0,6,2,1,0,43,50,0,3,0
KOTA SUKABUMI,2022,3,0,0,0,7,0,9,1,6,0,3,83,1,5,0
KOTA SUKABUMI,2023,0,9,0,0,7,0,87,1,12,1,0,0,24,0,0
KOTA TASIKMALAYA,2019,0,0,0,0,9,0,15,1,0,15,5,39,0,6,0
KOTA TASIKMALAYA,2020,2,0,0,0,22,0,22,2,1,36,40,55,0,9,2
KOTA TASIKMALAYA,2021,2,0,3,0,15,0,34,1,1,0,1,55,0,8,0
KOTA TASIKMALAYA,2022,0,0,0,0,14,0,41,2,1,0,0,65,0,9,0
KOTA TASIKMALAYA,2023,0,9,0,0,2,0,103,0,8,0,0,0,1,0,2
